field2,week14,week15,week16,week17,week18,week19,week20
US,3863,3127,2671,2381,3861,1830,2281
Germany,1676,1225,1232,1276,1077,961,825
United Kingdom,4199,1647,1971,1567,1308,1045,731
Italy,964,939,1001,924,877,755,583
Brazil,1103,694,684,861,622,776,572
France,785,869,903,902,762,552,505
Russia,1961,1736,1365,1097,887,707,485
Canada,203,466,465,456,493,464,423
Australia,177,218,219,238,272,291,269
Taiwan*,1,0,2,12,28,172,216
Spain,563,0,804,548,413,575,198
Japan,401,337,280,296,213,247,195
Portugal,158,119,169,118,140,163,171
"Korea, South",2226,1545,1019,715,442,344,167
Thailand,676,818,893,718,526,369,166
South Africa,46,51,156,60,160,232,161
Mexico,502,219,185,205,0,131,152
Finland,156,183,121,301,211,134,122
Greece,446,458,279,308,217,155,111
India,333,274,258,1646,224,148,107
Hungary,211,144,183,153,65,77,103
Guatemala,50,53,90,80,99,123,101
Peru,158,144,112,99,105,67,73
New Zealand,106,95,80,70,99,117,68
Belgium,171,168,154,120,113,61,62
Chile,291,222,112,164,90,93,60
Indonesia,462,240,234,173,108,77,55
Tunisia,102,84,24,17,16,9,53
Poland,290,203,110,111,79,69,48
Sweden,141,99,84,83,52,73,44
Ireland,77,69,64,91,44,72,41
Bulgaria,132,84,70,64,55,75,39
Iran,301,213,146,121,81,47,38
Slovakia,156,168,98,40,99,63,34
Iceland,4,5,4,5,0,1,33
Norway,149,116,88,61,74,55,33
Romania,117,130,90,66,69,50,32
Austria,227,179,139,95,60,32,28
Costa Rica,19,30,26,22,16,23,28
Israel,54,46,40,28,43,59,27
Jamaica,9,27,14,19,15,18,26
Denmark,146,89,87,86,68,49,25
Croatia,84,50,47,53,53,42,24
Malaysia,193,129,78,51,33,32,23
Egypt,56,49,91,0,28,28,21
Czechia,157,110,93,81,56,26,19
Trinidad and Tobago,24,20,13,18,21,19,19
Turkey,252,159,123,92,63,54,18
China,598,369,197,431,126,43,15
Latvia,36,36,28,17,29,9,15
Netherlands,70,78,52,38,28,24,15
Paraguay,3,0,61,75,2,0,13
Colombia,59,30,29,19,12,12,12
Panama,6,3,3,2,9,12,11
Saudi Arabia,10,11,9,11,14,13,11
Serbia,59,43,29,43,29,21,11
Singapore,25,15,9,11,16,11,11
Switzerland,34,40,29,36,14,55,10
Vietnam,213,131,69,29,14,9,10
Bahamas,1,0,0,9,0,3,9
Lebanon,26,19,15,12,12,9,8
North Macedonia,23,10,10,9,4,5,7
Zimbabwe,11,6,5,1,7,6,7
Cyprus,35,11,18,9,12,19,6
Ecuador,40,52,68,17,0,9,6
Slovenia,34,22,21,15,18,11,6
Afghanistan,0,7,4,1,1,6,5
Bosnia and Herzegovina,14,17,7,9,3,10,5
Estonia,26,22,15,8,9,8,5
Moldova,16,19,8,0,14,13,5
Morocco,1,2,2,4,1,1,4
Venezuela,9,6,5,3,0,3,4
Barbados,4,4,6,6,11,27,3
Guyana,0,2,0,0,0,0,3
Malta,21,11,15,10,11,4,3
Namibia,2,1,3,0,2,1,3
Pakistan,0,3,5,0,0,7,3
Botswana,0,2,0,0,2,0,2
Ethiopia,5,0,1,0,0,0,2
Grenada,1,0,1,0,0,1,2
Lithuania,62,49,45,35,23,6,2
Suriname,0,0,2,1,0,9,2
Uruguay,16,15,0,6,7,3,2
West Bank and Gaza,0,1,1,0,0,0,2
Antigua and Barbuda,0,0,0,1,1,0,1
Azerbaijan,6,3,1,2,0,0,1
Bahrain,2,1,1,1,1,2,1
Belize,4,12,4,0,0,0,1
Brunei,2,3,0,0,0,2,1
Congo (Kinshasa),0,0,0,0,0,0,1
Dominican Republic,0,0,1,0,0,0,1
El Salvador,2,3,2,1,0,1,1
Eswatini,1,0,2,0,3,3,1
Lesotho,0,0,0,0,0,0,1
Malawi,2,3,2,1,0,2,1
Mali,1,0,2,1,1,0,1
Nicaragua,1,1,1,1,1,1,1
Samoa,6,5,1,6,1,4,1
Sri Lanka,8,6,7,3,4,2,1
Sudan,0,22,1,1,2,3,1
Zambia,0,6,1,2,6,1,1
Albania,1,3,0,0,1,0,0
Algeria,0,0,1,0,0,0,0
Andorra,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0
Antarctica,0,0,0,0,0,0,0
Argentina,133,146,0,309,76,47,0
Armenia,3,1,1,0,0,1,0
Bangladesh,1,1,3,0,0,0,0
Belarus,28,29,25,21,22,9,0
Benin,0,0,0,0,0,0,0
Bhutan,2,4,2,1,0,0,0
Bolivia,3,4,5,15,2,18,0
Burkina Faso,0,1,0,0,0,1,0
Burma,1,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0
Cambodia,1,0,1,0,0,0,0
Cameroon,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Chad,1,0,1,0,0,0,0
Comoros,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0
Cote d'Ivoire,0,1,2,0,0,0,0
Cuba,4,2,5,2,0,2,0
Diamond Princess,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0
Fiji,0,28,0,0,0,0,0
Gabon,0,0,0,1,0,0,0
Gambia,0,0,0,0,0,0,0
Georgia,15,21,8,10,1,0,0
Ghana,0,0,0,0,0,0,0
Guinea,0,0,1,1,0,0,0
Guinea-Bissau,0,0,1,0,0,0,0
Haiti,2,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0
Honduras,8,0,4,1,2,1,0
Iraq,12,13,7,6,2,3,0
Jordan,17,7,4,5,2,0,0
Kazakhstan,1,0,0,0,1,1,0
Kenya,0,1,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0
Kosovo,2,0,0,0,0,1,0
Kuwait,1,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0
Laos,19,20,14,12,5,5,0
Liberia,0,0,0,0,0,0,0
Libya,10,0,0,1,0,0,0
Liechtenstein,0,0,1,-1,0,0,0
Luxembourg,8,9,4,6,4,5,0
MS Zaandam,0,0,0,0,0,0,0
Madagascar,2,1,0,0,2,0,0
Maldives,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0
Mauritius,17,5,0,0,6,0,0
Micronesia,0,0,0,0,0,0,0
Monaco,0,2,0,1,0,0,0
Mongolia,0,0,0,2,0,0,0
Montenegro,1,3,4,2,2,2,0
Mozambique,0,0,1,0,0,0,0
Nepal,0,0,0,0,1,0,0
Niger,0,0,1,0,0,1,0
Nigeria,0,1,0,0,0,0,0
Oman,3,3,0,1,1,1,0
Palau,0,0,0,0,0,0,0
Papua New Guinea,3,6,0,1,1,0,0
Philippines,426,200,213,215,42,16,0
Qatar,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0
Saint Lucia,0,2,1,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0
San Marino,1,0,0,1,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0
Senegal,0,0,2,0,-1,0,0
Seychelles,0,0,1,1,0,1,0
Sierra Leone,0,0,0,0,0,0,0
Solomon Islands,4,2,0,2,3,2,0
Somalia,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0
Summer Olympics 2020,0,0,0,0,0,0,0
Syria,2,4,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0
Tanzania,0,3,0,0,0,37,0
Timor-Leste,0,0,0,0,0,1,0
Togo,0,1,0,0,0,0,0
Tonga,0,2,0,0,0,0,0
Uganda,0,1,0,0,1,0,0
Ukraine,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0
Vanuatu,2,3,5,1,1,0,0
Winter Olympics 2022,0,0,0,0,0,0,0
Yemen,4,1,1,0,0,0,0
"Korea, North",0,0,0,0,0,21,-15
